iter	Passed	Remaining
527	24691	43256
528	24735	43205
529	24783	43160
530	24829	43113
531	24885	43081
532	24933	43036
533	24978	42986
534	25025	42941
535	25071	42892
536	25118	42847
537	25165	42800
538	25209	42748
539	25252	42695
540	25298	42648
541	25349	42607
542	25401	42569
543	25453	42531
544	25494	42475
545	25541	42428
546	25590	42386
547	25636	42337
548	25686	42296
549	25736	42253
550	25786	42213
551	25833	42166
552	25880	42119
553	25929	42076
554	25978	42034
555	26027	41990
556	26067	41933
557	26116	41889
558	26169	41852
559	26225	41820
560	26279	41785
561	26327	41739
562	26376	41695
563	26432	41663
564	26487	41630
565	26550	41607
566	26600	41566
567	26652	41527
568	26704	41488
569	26756	41449
570	26806	41406
571	26857	41365
572	26910	41328
573	26955	41279
574	27006	41237
575	27056	41195
576	27107	41154
577	27154	41107
578	27202	41062
579	27251	41018
580	27295	40966
581	27342	40919
582	27387	40870
583	27434	40823
584	27479	40773
585	27527	40726
586	27574	40679
587	27623	40636
588	27667	40585
589	27713	40536
590	27757	40485
591	27800	40432
592	27842	40378
593	27890	40332
594	27938	40288
595	27985	40241
596	28036	40199
597	28080	40148
598	28127	40102
599	28170	40048
600	28215	39999
601	28264	39954
602	28309	39905
603	28355	39857
604	28402	39810
605	28446	39759
606	28496	39716
607	28543	39669
608	28585	39615
609	28636	39574
610	28677	39519
611	28721	39468
612	28769	39422
613	28813	39371
614	28861	39326
615	28913	39286
616	28960	39240
617	29010	39196
618	29058	39151
619	29106	39106
620	29152	39058
621	29194	39004
622	29240	38956
623	29285	38906
624	29335	38863
625	29382	38816
626	29433	38775
627	29483	38732
628	29528	38682
629	29582	38645
630	29632	38601
631	29678	38553
632	29723	38504
633	29774	38463
634	29825	38421
635	29877	38380
636	29922	38331
637	29968	38282
638	30015	38236
639	30056	38180
640	30104	38134
641	30149	38085
642	30194	38037
643	30244	37994
644	30290	37945
645	30342	37904
646	30389	37857
647	30438	37813
648	30484	37765
649	30531	37718
650	30578	37671
651	30625	37624
652	30670	37574
653	30714	37523
654	30759	37474
655	30806	37428
656	30851	37378
657	30900	37334
658	30948	37287
659	30998	37245
660	31046	37199
661	31095	37154
662	31140	37105
663	31188	37059
664	31235	37012
665	31287	36971
666	31333	36924
667	31381	36878
668	31429	36831
669	31479	36788
670	31524	36739
671	31570	36691
672	31617	36644
673	31665	36598
674	31714	36553
675	31759	36504
676	31809	36461
677	31858	36416
678	31902	36366
679	31946	36315
680	31991	36266
681	32039	36220
682	32086	36173
683	32134	36127
684	32179	36078
685	32227	36032
686	32279	35991
687	32327	35945
688	32374	35898
689	32418	35848
690	32468	35804
691	32512	35754
692	32563	35711
693	32611	35666
694	32657	35617
695	32700	35566
696	32751	35524
697	32797	35476
698	32843	35427
699	32890	35380
700	32936	35332
701	32982	35284
702	33030	35238
703	33079	35193
704	33131	35152
705	33176	35102
706	33223	35056
707	33271	35009
708	33317	34962
709	33366	34917
710	33412	34869
711	33456	34819
712	33504	34772
713	33547	34722
714	33596	34677
715	33641	34628
716	33686	34578
717	33730	34528
718	33776	34481
719	33822	34433
720	33869	34386
721	33917	34339
722	33964	34293
723	34013	34248
724	34064	34205
725	34111	34158
726	34154	34107
727	34197	34056
728	34241	34006
729	34294	33965
730	34335	33912
731	34382	33865
732	34430	33819
733	34476	33772
734	34522	33724
735	34572	33680
736	34620	33633
737	34670	33590
738	34713	33539
739	34758	33490
740	34803	33441
741	34849	33393
742	34894	33344
743	34939	33295
744	34985	33248
745	35031	33200
746	35083	33158
747	35128	33109
748	35176	33063
749	35227	33019
750	35274	32973
751	35319	32923
752	35367	32878
753	35418	32835
754	35467	32789
755	35513	32741
756	35563	32698
757	35609	32649
758	35661	32607
759	35708	32560
760	35753	32511
761	35803	32467
762	35848	32419
763	35894	32370
764	35939	32322
765	35987	32275
766	36029	32224
767	36074	32175
768	36122	32129
769	36172	32085
770	36216	32035
771	36260	31986
772	36304	31937
773	36347	31886
774	36392	31837
775	36442	31792
776	36494	31750
777	36540	31702
778	36585	31654
779	36633	31608
780	36682	31562
781	36729	31516
782	36776	31469
783	36827	31425
784	36872	31376
785	36921	31331
786	36969	31285
787	37014	31237
788	37060	31189
789	37104	31139
790	37147	31089
791	37194	31042
792	37242	30996
793	37284	30945
794	37327	30894
795	37373	30847
796	37423	30802
797	37468	30754
798	37515	30707
799	37562	30660
800	37609	30613
801	37659	30568
802	37703	30519
803	37751	30473
804	37798	30426
805	37845	30379
806	37890	30331
807	37936	30283
808	37985	30238
809	38034	30192
810	38078	30143
811	38121	30093
812	38166	30044
813	38214	29999
814	38263	29953
815	38312	29908
816	38358	29860
817	38403	29811
818	38451	29765
819	38497	29718
820	38542	29669
821	38586	29620
822	38637	29577
823	38680	29526
824	38726	29479
825	38772	29431
826	38820	29384
827	38869	29339
828	38917	29293
829	38964	29247
830	39008	29197
831	39056	29151
832	39100	29102
833	39145	29054
834	39192	29007
835	39240	28960
836	39285	28912
837	39331	28864
838	39375	28815
839	39420	28767
840	39468	28721
841	39511	28671
842	39560	28625
843	39609	28580
844	39650	28529
845	39697	28482
846	39751	28441
847	39797	28393
848	39846	28348
849	39893	28301
850	39941	28254
851	39986	28206
852	40033	28159
853	40082	28114
854	40129	28067
855	40175	28019
856	40224	27973
857	40272	27927
858	40319	27881
859	40367	27834
860	40412	27786
861	40458	27738
862	40505	27691
863	40551	27644
864	40599	27598
865	40651	27555
866	40695	27505
867	40743	27459
868	40789	27412
869	40833	27362
870	40876	27313
871	40925	27267
872	40970	27219
873	41019	27174
874	41069	27129
875	41115	27081
876	41164	27036
877	41212	26990
878	41258	26942
879	41301	26893
880	41346	26844
881	41395	26799
882	41444	26753
883	41493	26707
884	41539	26660
885	41582	26611
886	41629	26563
887	41677	26517
888	41719	26467
889	41762	26418
890	41805	26369
891	41851	26321
892	41899	26275
893	41944	26227
894	41990	26179
895	42037	26132
896	42081	26084
897	42126	26035
898	42177	25991
899	42226	25945
900	42274	25899
901	42318	25850
902	42362	25802
903	42410	25756
904	42456	25708
905	42504	25661
906	42550	25614
907	42600	25569
908	42646	25522
909	42690	25473
910	42735	25425
911	42781	25378
912	42831	25332
913	42876	25284
914	42924	25238
915	42966	25189
916	43013	25141
917	43059	25094
918	43110	25050
919	43155	25002
920	43208	24958
921	43253	24910
922	43295	24860
923	43340	24813
924	43388	24766
925	43432	24717
926	43477	24670
927	43523	24622
928	43568	24574
929	43617	24529
930	43663	24481
931	43712	24436
932	43758	24388
933	43800	24338
934	43846	24291
935	43894	24245
936	43942	24199
937	43992	24153
938	44039	24106
939	44083	24058
940	44130	24011
941	44181	23966
942	44225	23918
943	44272	23871
944	44321	23825
945	44369	23779
946	44418	23733
947	44468	23688
948	44514	23641
949	44563	23595
950	44615	23550
951	44660	23503
952	44706	23455
953	44750	23407
954	44793	23358
955	44841	23311
956	44883	23262
957	44928	23214
958	44967	23163
959	45017	23118
960	45062	23070
961	45108	23023
962	45155	22976
963	45203	22929
964	45252	22884
965	45295	22835
966	45347	22790
967	45392	22743
968	45433	22693
969	45477	22645
970	45521	22596
971	45570	22551
972	45613	22502
973	45662	22456
974	45711	22410
975	45752	22360
976	45797	22312
977	45846	22266
978	45897	22221
979	45941	22173
980	45984	22124
981	46033	22079
982	46080	22032
983	46125	21984
984	46172	21937
985	46214	21888
986	46266	21844
987	46312	21796
988	46359	21749
989	46408	21704
990	46453	21656
991	46500	21609
992	46548	21563
993	46597	21517
994	46647	21471
995	46692	21424
996	46739	21377
997	46782	21328
998	46821	21278
999	46869	21231
1000	46917	21185
1001	46965	21139
1002	47012	21092
1003	47057	21044
1004	47105	20998
1005	47154	20952
1006	47206	20907
1007	47252	20860
1008	47302	20814
1009	47351	20769
1010	47401	20723
1011	47448	20676
1012	47495	20630
1013	47540	20582
1014	47587	20535
1015	47636	20489
1016	47680	20441
1017	47725	20393
1018	47769	20345
1019	47817	20298
1020	47862	20251
1021	47910	20204
1022	47957	20158
1023	47995	20107
1024	48044	20061
1025	48089	20013
1026	48133	19965
1027	48182	19919
1028	48229	19872
1029	48267	19822
1030	48314	19775
1031	48363	19729
1032	48407	19681
1033	48452	19634
1034	48499	19587
1035	48544	19539
1036	48593	19493
1037	48640	19446
1038	48691	19401
1039	48735	19353
1040	48779	19305
1041	48823	19257
1042	48868	19210
1043	48912	19161
1044	48960	19115
1045	49008	19069
1046	49058	19023
1047	49105	18976
1048	49153	18930
1049	49198	18882
1050	49243	18835
1051	49287	18787
1052	49331	18739
1053	49379	18692
1054	49421	18644
1055	49462	18595
1056	49508	18548
1057	49554	18501
1058	49598	18453
1059	49644	18405
1060	49690	18358
1061	49733	18310
1062	49774	18261
1063	49819	18214
1064	49862	18165
1065	49906	18118
1066	49951	18070
1067	49990	18020
1068	50040	17975
1069	50084	17927
1070	50129	17880
1071	50179	17834
1072	50224	17786
1073	50267	17738
1074	50317	17693
1075	50366	17647
1076	50412	17599
1077	50460	17553
1078	50509	17507
1079	50557	17460
1080	50604	17414
1081	50650	17367
1082	50699	17321
1083	50746	17274
1084	50794	17227
1085	50842	17181
1086	50889	17134
1087	50929	17085
1088	50977	17039
1089	51023	16992
1090	51071	16945
1091	51116	16898
1092	51167	16853
1093	51210	16805
1094	51259	16758
1095	51307	16712
1096	51356	16666
1097	51405	16620
1098	51453	16573
1099	51503	16528
1100	51551	16481
1101	51594	16433
1102	51644	16387
1103	51689	16340
1104	51735	16293
1105	51784	16247
1106	51836	16201
1107	51884	16155
1108	51929	16107
1109	51973	16060
1110	52017	16012
1111	52065	15966
1112	52111	15919
1113	52157	15872
1114	52205	15825
1115	52252	15778
1116	52296	15731
1117	52340	15683
1118	52389	15637
1119	52441	15591
1120	52488	15545
1121	52535	15498
1122	52581	15451
1123	52626	15404
1124	52672	15356
1125	52720	15310
1126	52764	15262
1127	52813	15216
1128	52862	15170
1129	52908	15123
1130	52950	15075
1131	52998	15028
1132	53044	14981
1133	53091	14934
1134	53134	14887
1135	53181	14840
1136	53224	14792
1137	53269	14745
1138	53313	14697
1139	53356	14649
1140	53405	14603
1141	53454	14557
1142	53501	14510
1143	53546	14463
1144	53586	14414
1145	53632	14367
1146	53683	14321
1147	53729	14274
1148	53773	14227
1149	53822	14181
1150	53868	14133
1151	53918	14088
1152	53964	14041
1153	54011	13994
1154	54060	13947
1155	54104	13900
1156	54152	13854
1157	54197	13806
1158	54242	13759
1159	54293	13713
1160	54341	13667
